date,pages,page,id
9/11/2018,35,35,Man's Search for Meaning
9/12/2018,37,72,Man's Search for Meaning
9/13/2018,31,103,Man's Search for Meaning
9/14/2018,,,
9/15/2018,,,
9/16/2018,42,42,The Captain Class
9/17/2018,26,68,The Captain Class
9/17/2018,15,118,Man's Search for Meaning
9/18/2018,36,154,Man's Search for Meaning
9/19/2018,11,165,Man's Search for Meaning
9/19/2018,43,111,The Captain Class
9/20/2018,21,132,The Captain Class
9/20/2018,16,16,Zen and the Art of Motorcycle Maintenance
9/21/2018,30,46,Zen and the Art of Motorcycle Maintenance
9/22/2018,,,
9/23/2018,16,62,Zen and the Art of Motorcycle Maintenance
9/24/2018,29,91,Zen and the Art of Motorcycle Maintenance
9/25/2018,29,120,Zen and the Art of Motorcycle Maintenance
9/26/2018,14,134,Zen and the Art of Motorcycle Maintenance
9/27/2018,32,166,Zen and the Art of Motorcycle Maintenance
9/28/2018,15,181,Zen and the Art of Motorcycle Maintenance
9/29/2018,,,
9/30/2018,,,
10/1/2018,35,216,Zen and the Art of Motorcycle Maintenance
10/2/2018,30,246,Zen and the Art of Motorcycle Maintenance
10/3/2018,14,260,Zen and the Art of Motorcycle Maintenance
10/4/2018,13,273,Zen and the Art of Motorcycle Maintenance
10/5/2018,11,284,Zen and the Art of Motorcycle Maintenance
10/6/2018,,,
10/7/2018,,,
10/8/2018,,,
10/9/2018,34,318,Zen and the Art of Motorcycle Maintenance
10/10/2018,42,360,Zen and the Art of Motorcycle Maintenance
10/11/2018,20,380,Zen and the Art of Motorcycle Maintenance
10/12/2018,32,164,The Captain Class
10/13/2018,,,
10/14/2018,,,
10/15/2018,39,203,The Captain Class
10/16/2018,14,14,Lightnin Hopkins
10/17/2018,,,
10/18/2018,29,43,Lightnin Hopkins
10/19/2018,25,68,Lightnin Hopkins
10/20/2018,,,
10/21/2018,,,
10/22/2018,31,99,Lightnin Hopkins
10/23/2018,32,131,Lightnin Hopkins
10/24/2018,36,167,Lightnin Hopkins
10/25/2018,15,182,Lightnin Hopkins
10/26/2018,,,
10/27/2018,,,
10/28/2018,,,
10/29/2018,34,216,Lightnin Hopkins
10/30/2018,25,241,Lightnin Hopkins
10/30/2018,6,209,The Captain Class
10/31/2018,34,243,The Captain Class
11/1/2018,39,282,The Captain Class
11/2/2018,18,18,Heavier than Heaven
11/3/2018,,,
11/4/2018,,,
11/5/2018,16,34,Heavier than Heaven
11/6/2018,34,68,Heavier than Heaven
11/7/2018,54,122,Heavier than Heaven
11/8/2018,69,191,Heavier than Heaven
11/9/2018,45,236,Heavier than Heaven
11/10/2018,,,
11/11/2018,30,266,Heavier than Heaven
11/12/2018,86,352,Heavier than Heaven
11/13/2018,30,30,Odyssey
11/14/2018,32,62,Odyssey
11/15/2018,30,92,Odyssey
11/16/2018,,,
11/17/2018,,,
11/18/2018,,,
11/19/2018,54,146,Odyssey
11/20/2018,29,175,Odyssey
11/21/2018,25,200,Odyssey
11/22/2018,39,239,Odyssey
11/23/2018,,,
11/24/2018,,,
11/25/2018,25,264,Odyssey
11/26/2018,16,280,Odyssey
11/27/2018,67,347,Odyssey
11/28/2018,37,384,Odyssey
11/29/2018,36,36,Iliad
11/30/2018,63,99,Iliad
12/1/2018,,,
12/2/2018,,,
12/3/2018,,,
12/4/2018,22,121,Iliad
12/5/2018,31,152,Iliad
12/6/2018,31,183,Iliad
12/7/2018,31,214,Iliad
12/8/2018,30,244,Iliad
12/9/2018,30,274,Iliad
12/10/2018,,,
12/11/2018,34,308,Iliad
12/12/2018,30,338,Iliad
12/13/2018,30,368,Iliad
12/14/2018,14,382,Iliad
12/15/2018,,,
12/16/2018,,,
12/17/2018,31,413,Iliad
12/18/2018,32,445,Iliad
12/19/2018,35,480,Iliad
12/20/2018,17,497,Iliad
12/20/2018,56,56,Barrel-aged stout
12/21/2018,32,88,Barrel-aged stout
12/22/2018,41,129,Barrel-aged stout
12/23/2018,,,
12/24/2018,46,175,Barrel-aged stout
12/25/2018,98,273,Barrel-aged stout
12/26/2018,18,291,Barrel-aged stout
12/27/2018,58,349,Barrel-aged stout
12/28/2018,24,24,A Dirty Job
12/29/2018,144,168,A Dirty Job
12/30/2018,,,
12/31/2018,,,
1/1/2019,,,
1/2/2019,107,275,A Dirty Job
1/3/2019,109,384,A Dirty Job
1/4/2019,34,34,Catcher in the Rye
1/5/2019,34,68,Catcher in the Rye
1/6/2019,37,105,Catcher in the Rye
1/7/2019,88,193,Catcher in the Rye
1/8/2019,68,261,Catcher in the Rye
1/9/2019,16,277,Catcher in the Rye
1/9/2019,19,19,Coyote Blue
1/10/2019,54,73,Coyote Blue
1/11/2019,55,128,Coyote Blue
1/12/2019,75,203,Coyote Blue
1/13/2019,56,259,Coyote Blue
1/14/2019,35,294,Coyote Blue
1/14/2019,52,52,The Visual Display of Quantitative Information
1/15/2019,31,31,To Kill a Mockingbird
1/16/2019,42,73,To Kill a Mockingbird
1/17/2019,61,134,To Kill a Mockingbird
1/18/2019,,,
1/19/2019,54,188,To Kill a Mockingbird
1/20/2019,,,
1/21/2019,58,246,To Kill a Mockingbird
1/22/2019,35,281,To Kill a Mockingbird
1/22/2019,31,31,Second Hand Souls
1/23/2019,53,84,Second Hand Souls
1/24/2019,110,194,Second Hand Souls
1/25/2019,35,229,Second Hand Souls
1/26/2019,86,315,Second Hand Souls
1/27/2019,20,335,Second Hand Souls
1/27/2019,35,87,The Visual Display of Quantitative Information
1/27/2019,29,29,Disrupted
1/28/2019,75,104,Disrupted
1/29/2019,55,159,Disrupted
1/30/2019,100,259,Disrupted
1/31/2019,30,30,When
2/1/2019,28,58,When
2/2/2019,64,92,When
2/3/2019,59,123,When
2/4/2019,96,155,When
2/5/2019,91,187,When
2/6/2019,129,220,When
2/7/2019,35,35,Of Mice and Men
2/8/2019,35,70,Of Mice and Men
2/9/2019,33,103,Of Mice and Men
2/10/2019,,,
2/11/2019,36,36,Obelisk Gate
2/12/2019,35,122,The Visual Display of Quantitative Information
2/12/2019,50,86,Obelisk Gate
2/13/2019,49,135,Obelisk Gate
2/14/2019,46,181,Obelisk Gate
2/15/2019,,,
2/16/2019,,,
2/17/2019,30,211,Obelisk Gate
2/18/2019,47,258,Obelisk Gate
2/19/2019,43,301,Obelisk Gate
2/20/2019,76,377,Obelisk Gate
2/21/2019,30,407,Obelisk Gate
2/22/2019,,,
2/23/2019,,,
2/24/2019,,,
2/25/2019,,31,Stone Sky
2/26/2019,,72,Stone Sky
2/27/2019,,123,Stone Sky
2/28/2019,,159,Stone Sky
3/1/2019,,186,Stone Sky
3/2/2019,,216,Stone Sky
3/3/2019,,,Stone Sky
